--- 0x89702330..0x89702E24  159 noms ---
  0x8970354C  gkkicking
  0x89703558  gkhandling
  0x89703564  gkdiving
  0x89703570  freekickaccuracy
  0x89703584  finishing
  0x89703590  dribbling
  0x8970359C  curve
  0x897035A4  crossing
  0x897035B0  ballcontrol
  0x897035BC  balance
  0x897035C4  agility
  0x897035CC  agression
  0x897035D8  acceleration
  0x897035E8  contractvaliduntil
  0x897035FC  preferredfoot
  0x8970360C  preferredpos4
  0x8970361C  preferredpos3
  0x8970362C  preferredpos2
  0x8970363C  preferredpos1
  0x8970364C  playerweight
  0x8970365C  playerheight
  0x8970366C  birthdate
  0x89703678  playerjerseyname
  0x8970368C  commonname
  0x89703698  surname
  0x897036A0  firstname
  0x897036AC  customplayers
  0x897036BC  triggerinjurynis
  0x897036D0  isinjured
  0x897036DC  numyellowcards
  0x897036EC  numredcards
  0x897036F8  fatigue
  0x89703700  jerseynum
  0x8970370C  playerposition
  0x8970371C  players
  0x89703724  matchtier
  0x89703730  kitversion
  0x8970373C  beaproid
  0x89703748  captainid
  0x89703754  subsremaining
  0x89703764  formationid
  0x89703770  scorefirstleg
  0x89703780  teamid
  0x89703788  teamside
  0x89703794  isuserteam
  0x897037A0  pressituation10
  0x897037B0  pressituation9
  0x897037C0  pressituation8
  0x897037D0  pressituation7
  0x897037E0  pressituation6
  0x897037F0  pressituation5
  0x89703800  pressituation4
  0x89703810  pressituation3
  0x89703820  pressituation2
  0x89703830  pressituation1
  0x89703840  crowdlevels
  0x8970384C  fadelength
  0x89703858  pitchwear
  0x89703864  isrivalsmatch
  0x89703874  linesman2id
  0x89703880  linesman1id
  0x8970388C  refid
  0x89703894  situation
  0x897038A0  timeofday
  0x897038AC  weatherid
  0x897038B8  extratimeformat
  0x897038C8  injurytime
  0x897038D4  halflength
  0x897038E0  starthalf
  0x897038EC  matchminute
  0x897038F8  matchtype
  0x89703904  stadiumid
  0x89703910  teamwithposession
  0x89703924  playeratball
  0x89703934  ballposy
  0x89703940  ballposx
  0x8970394C  ballid
  0x89703954  ballinfo
  0x89703960  scenarioid
  0x8970396C  scenarios
  0x89703978  polish
  0x89703980  italian
  0x89703988  english
  0x89703990  arabic
  0x89703998  brazilianportugese
  0x897039AC  mexicanspanish
  0x897039BC  swedish
  0x897039C4  russian
  0x897039CC  portugese
  0x897039D8  norwegian
  0x897039E4  hungarian
  0x897039F0  dutch
  0x897039F8  danish
  0x89703A00  czech
  0x89703A08  german
  0x89703A10  korean
  0x89703A18  japanese
  0x89703A24  spanish
  0x89703A2C  french
  0x89703A34  stringid
  0x89703A40  strings
  0x89703A48  xpTodayEarnedBonus
  0x89703A5C  xpTodayEarnedBase
